raw_event,sample_count,phase,anchor,seconds_from_anchor
"Cycle 16 Day 1",15117,ON_TREATMENT,CYCLE_16,0
"Cycle 12 Day 1",15101,ON_TREATMENT,CYCLE_12,0
"D85",15058,ON_TREATMENT,BASELINE,7344000
"Visit 9 Week 72",14876,ON_TREATMENT,BASELINE,43545600
"Week 77",14764,ON_TREATMENT,BASELINE,46569600
"Cycle 1 Day 2",14718,ON_TREATMENT,CYCLE_1,86400
"Day 4",14663,ON_TREATMENT,BASELINE,345600
"W4",14390,ON_TREATMENT,BASELINE,2419200
"Day 60",14335,ON_TREATMENT,BASELINE,5184000
"WK52",14292,ON_TREATMENT,BASELINE,31449600
"ET",13807,END_OF_TREATMENT,,
"Week 24 Day 168",13737,ON_TREATMENT,BASELINE,14515200
"Cycle 9 Day 1",13719,ON_TREATMENT,CYCLE_9,0
"Week 1 Day 7",13557,ON_TREATMENT,BASELINE,604800
"D15",13425,ON_TREATMENT,BASELINE,1296000
"AT",13391,NOT_SPECIFIED,,
"Cycle 6 Day 1",13375,ON_TREATMENT,CYCLE_6,0
"Week 9",13110,ON_TREATMENT,BASELINE,5443200
"D57",12978,ON_TREATMENT,BASELINE,4924800
"V7",12472,ON_TREATMENT,,
"BL",12415,BASELINE,BASELINE,0
"WK1",12284,ON_TREATMENT,BASELINE,604800
"V4",12205,ON_TREATMENT,,
"Cycle 1 Visit 1",11802,ON_TREATMENT,CYCLE_1,0
"BASELINE DAY1",11697,BASELINE,BASELINE,0
"WK24",11649,ON_TREATMENT,BASELINE,14515200
"Randomization",11595,BASELINE,BASELINE,0
"SCN",11279,,,
"DNA",11124,NOT_SPECIFIED,,
"SFU3",10961,FOLLOW_UP,,
"ANTH.C1D1",10933,ON_TREATMENT,CYCLE_1,0
"Cycle 2 Day 8",10759,ON_TREATMENT,CYCLE_2,604800
"D8",10683,ON_TREATMENT,BASELINE,691200
"RANDV3",10619,BASELINE,BASELINE,0
"CSF SCREEN",10615,SCREENING,SCREENING,0
"V6",10597,ON_TREATMENT,,
"Week 17",10595,ON_TREATMENT,BASELINE,10281600
"HER2.C1D1",10584,ON_TREATMENT,CYCLE_1,0
"C00",10471,NOT_SPECIFIED,,
"WEEK 4",10394,ON_TREATMENT,BASELINE,2419200
"Early Withdrawal",10385,END_OF_TREATMENT,,
"V9",10319,ON_TREATMENT,,
"Visit 12 Week 0",10264,ON_TREATMENT,BASELINE,0
"Biopsy Screen",10231,PROCEDURE,,
"Day 57",10128,ON_TREATMENT,BASELINE,4924800
"WEEK 48",9974,ON_TREATMENT,BASELINE,29030400
"C1D2",9857,ON_TREATMENT,CYCLE_1,86400
"W1SC",9837,ON_TREATMENT,BASELINE,604800
"VISIT 5",9832,ON_TREATMENT,,
"Week 100",9758,ON_TREATMENT,BASELINE,60480000
"SDDV",9636,,,
"SFU1",9623,FOLLOW_UP,,
"Visit 17 Week 46",9514,ON_TREATMENT,BASELINE,27820800
"Week 120",9471,ON_TREATMENT,BASELINE,72576000
"Visit 11 Week 96",9405,ON_TREATMENT,BASELINE,58060800
"Day 6",9388,ON_TREATMENT,BASELINE,518400
"Day 21",9156,ON_TREATMENT,BASELINE,1814400
"D7",9142,ON_TREATMENT,BASELINE,604800
"W104",9127,ON_TREATMENT,BASELINE,62899200
"END OF TREATMENT",9056,END_OF_TREATMENT,,
"Cycle 2 Day 15",8947,ON_TREATMENT,CYCLE_2,1209600
"SFU2",8862,FOLLOW_UP,,
"Week 36 Day 252",8843,ON_TREATMENT,BASELINE,21772800
"D113",8801,ON_TREATMENT,BASELINE,9763200
"Week 48 Day 336",8669,ON_TREATMENT,BASELINE,29030400
"VISIT 3",8662,ON_TREATMENT,,
"DISC1",8643,END_OF_TREATMENT,,
"C1",8625,ON_TREATMENT,CYCLE_1,0
"Visit 27 Week 166",8576,ON_TREATMENT,BASELINE,100396800
"Week 32",8565,ON_TREATMENT,BASELINE,19353600
"Week 49",8553,ON_TREATMENT,BASELINE,29635200
"DBT Week 12",8542,ON_TREATMENT,BASELINE,7257600
"Day 43",8496,ON_TREATMENT,BASELINE,3715200
"Day -1",8482,ON_TREATMENT,BASELINE,86400
"DAY 29",8462,ON_TREATMENT,BASELINE,2505600
"Day 10",8442,ON_TREATMENT,BASELINE,864000
"Treatment Completion",8405,END_OF_TREATMENT,,
"Visit 31 Week 214",8365,ON_TREATMENT,BASELINE,129427200
"Visit 21 Week 94",8336,ON_TREATMENT,BASELINE,56851200
"Follow-Up Year 1",8306,FOLLOW_UP,END_OF_TREATMENT,31536000
"C5D1",8301,ON_TREATMENT,CYCLE_5,0
"Day 85",8263,ON_TREATMENT,BASELINE,7344000
"Week 144",8201,ON_TREATMENT,BASELINE,87091200
"Week 25",8172,ON_TREATMENT,BASELINE,15120000
"WEEK_0",8090,BASELINE,BASELINE,0
"Follow-Up Year 2",8087,FOLLOW_UP,END_OF_TREATMENT,63072000
"Week 112",8031,ON_TREATMENT,BASELINE,67737600
"Archival Tumor",8010,ARCHIVAL,,
"WEEK 12",7942,ON_TREATMENT,BASELINE,7257600
"WK36",7907,ON_TREATMENT,BASELINE,21772800
"RUN-INV2",7902,BASELINE,BASELINE,0
"Cycle 13 Day 1",7897,ON_TREATMENT,CYCLE_13,0
"C6D1",7876,ON_TREATMENT,CYCLE_6,0
"DAY 85",7874,ON_TREATMENT,BASELINE,7344000
"C1D1B",7858,ON_TREATMENT,CYCLE_1,0
"Week 85",7838,ON_TREATMENT,BASELINE,51408000
"Follow-Up Year 3",7833,FOLLOW_UP,END_OF_TREATMENT,94608000
"Main Screening",7828,SCREENING,SCREENING,0
"Study Completion",7800,END_OF_TREATMENT,,
"DAY 57",7670,ON_TREATMENT,BASELINE,4924800
"W1",7656,ON_TREATMENT,BASELINE,604800
"DBT Week 48",7610,ON_TREATMENT,BASELINE,29030400
"W260",7463,ON_TREATMENT,BASELINE,157248000
"Cycle 11 Day 1",7443,ON_TREATMENT,CYCLE_11,0
"Week 40",7393,ON_TREATMENT,BASELINE,24192000
"Screen",7372,SCREENING,SCREENING,0
"Visit 4 Week 24",7355,ON_TREATMENT,BASELINE,14515200
"DAY 8",7347,ON_TREATMENT,BASELINE,691200
"Week 66",7302,ON_TREATMENT,BASELINE,39916800
"WK 13",7281,ON_TREATMENT,BASELINE,7862400
"WK54V17",7242,ON_TREATMENT,BASELINE,32659200
"DAY168",7190,ON_TREATMENT,BASELINE,14515200
"WK26V10",7183,ON_TREATMENT,BASELINE,15724800
"WK14V7",7179,ON_TREATMENT,BASELINE,8467200
"CYCLE1_DAY1",7117,ON_TREATMENT,CYCLE_1,0
"Visit 6 Week 72",7104,ON_TREATMENT,BASELINE,43545600
"Month 9",7028,ON_TREATMENT,BASELINE,23328000
"Week 8 Day 56",6991,ON_TREATMENT,BASELINE,4838400
"Follow-Up Year 4",6977,FOLLOW_UP,END_OF_TREATMENT,126144000
"MONTH12",6923,ON_TREATMENT,BASELINE,31104000
"WEEK 16",6917,ON_TREATMENT,BASELINE,9676800
"W16",6901,ON_TREATMENT,BASELINE,9676800
"Day 2-56",6898,ON_TREATMENT,BASELINE,172800
"V10",6897,ON_TREATMENT,,
"End of Treatment Week 101",6869,END_OF_TREATMENT,,
"Cycle 1 Day 22",6830,ON_TREATMENT,CYCLE_1,1814400
"Visit 5 Week 48",6827,ON_TREATMENT,BASELINE,29030400
"Week 14 Day 99",6821,ON_TREATMENT,BASELINE,8467200
"Visit 3 Week 2",6815,ON_TREATMENT,BASELINE,1209600
"D71",6787,ON_TREATMENT,BASELINE,6134400
"Week 3",6787,ON_TREATMENT,BASELINE,1814400
"Visit 15 Week 22",6787,ON_TREATMENT,BASELINE,13305600
"Archival Pretreatment",6782,ARCHIVAL,,
"D2",6779,ON_TREATMENT,BASELINE,172800
"Week 101",6702,ON_TREATMENT,BASELINE,61084800
"CYCLE 1 DAY 1",6695,ON_TREATMENT,CYCLE_1,0
"WK4V4",6644,ON_TREATMENT,BASELINE,2419200
"WK 26",6637,ON_TREATMENT,BASELINE,15724800
"18 Months",6604,ON_TREATMENT,BASELINE,46656000
"Week 4 Day 29",6594,ON_TREATMENT,BASELINE,2419200
"BASELINE RCR",6520,BASELINE,BASELINE,0
"Day 1/Week 0",6361,ON_TREATMENT,BASELINE,0
"Month 3",6305,ON_TREATMENT,BASELINE,7776000
"Baseline Week 0 Visit 2",6303,BASELINE,BASELINE,0
"Follow Up",6285,FOLLOW_UP,,
"D43",6280,ON_TREATMENT,BASELINE,3715200
"Baseline Week 0",6250,BASELINE,BASELINE,0
"V8",6196,ON_TREATMENT,,
"Pre-Treatment",6184,ON_TREATMENT,,
"Neoadjuvant Cycle 1 Day 1",6171,ON_TREATMENT,CYCLE_1,0
"Week 8 Day 57",6107,ON_TREATMENT,BASELINE,4838400
"Day -5",6094,ON_TREATMENT,BASELINE,432000
"Week 73",6088,ON_TREATMENT,BASELINE,44150400
"Study Treatment Termination",6023,ON_TREATMENT,,
"Weekly Visit",6017,ON_TREATMENT,,
"WEEK_16",6012,ON_TREATMENT,BASELINE,9676800
"DBT Week 2",5998,ON_TREATMENT,BASELINE,1209600
"DBT Week 24",5894,ON_TREATMENT,BASELINE,14515200
"Screening Visit 1",5856,SCREENING,SCREENING,0
"WITHDRAWAL",5811,END_OF_TREATMENT,,
"SCREENV1",5795,,,
"Cycle 6 Visit 1 (Day 1 Week 21)",5770,ON_TREATMENT,CYCLE_6,0
"At Any Time",5720,UNSCHEDULED,,
"Week 33",5716,ON_TREATMENT,BASELINE,19958400
"V5",5698,ON_TREATMENT,,
"Visit 6",5695,ON_TREATMENT,,
"Day 1/Baseline Visit",5568,BASELINE,BASELINE,0
"Week 44",5546,ON_TREATMENT,BASELINE,26611200
"C16D1",5521,ON_TREATMENT,CYCLE_16,0
"EOS",5521,END_OF_TREATMENT,,
"Visit 4",5496,ON_TREATMENT,,
"DAY 15",5489,ON_TREATMENT,BASELINE,1296000
"Main Screen",5355,SCREENING,SCREENING,0
"SCRN2",5329,SCREENING,SCREENING,0
"N/A",5290,NOT_SPECIFIED,,
"RT 1 DAY 1",5281,ON_TREATMENT,CYCLE_1,0
"Month 12",5279,ON_TREATMENT,BASELINE,31104000
"D5",5277,ON_TREATMENT,BASELINE,432000
"Visit 29 Week 190",5267,ON_TREATMENT,BASELINE,114912000
"DAY 43",5213,ON_TREATMENT,BASELINE,3715200
"On Treatment",5209,ON_TREATMENT,,
"Retest",5207,UNSCHEDULED,,
"Follow-Up Year 5",5197,FOLLOW_UP,END_OF_TREATMENT,157680000
"Day 22",5153,ON_TREATMENT,BASELINE,1900800
"Visit 19 Week 70",5152,ON_TREATMENT,BASELINE,42336000
"Visit 33 Week 238",5146,ON_TREATMENT,BASELINE,143942400
"SCREEN",5131,SCREENING,SCREENING,0
"Visit 13",5119,ON_TREATMENT,,
"Cycle 2 Day 2",5109,ON_TREATMENT,CYCLE_2,86400
"WEEK 8",5087,ON_TREATMENT,BASELINE,4838400
"V16",5083,ON_TREATMENT,,
"MONTH24",5032,ON_TREATMENT,BASELINE,62208000
"Day 11",5014,ON_TREATMENT,BASELINE,950400
"Visit 35 Week 262",5014,ON_TREATMENT,BASELINE,158457600
"Visit 7 Week 96",5009,ON_TREATMENT,BASELINE,58060800
"Day 1 Baseline",4982,BASELINE,BASELINE,0
"Disease Recurrence",4975,DISEASE_PROGRESSION,,
"DAY15",4974,ON_TREATMENT,BASELINE,1296000
"Cycle 2 Day 22",4963,ON_TREATMENT,CYCLE_2,1814400
"Visit 8 Week 120",4948,ON_TREATMENT,BASELINE,72576000
"Cycle 1 Day 5",4938,ON_TREATMENT,CYCLE_1,345600
"Study Discontinuation",4926,END_OF_TREATMENT,,
"DISC2",4924,END_OF_TREATMENT,,
"EOT/Day 85",4902,,,
"Visit 11 week 96",4893,ON_TREATMENT,BASELINE,58060800
"Cycle 15 Day 1",4863,ON_TREATMENT,CYCLE_15,0
"DAY84",4850,ON_TREATMENT,BASELINE,7257600
"DBT Week 96",4849,ON_TREATMENT,BASELINE,58060800
"C1D2B",4820,ON_TREATMENT,CYCLE_1,86400
"W20",4806,ON_TREATMENT,BASELINE,12096000
"D3",4804,ON_TREATMENT,BASELINE,259200
"D4",4784,ON_TREATMENT,BASELINE,345600
"W52",4752,ON_TREATMENT,BASELINE,31449600
"W1IV",4732,ON_TREATMENT,BASELINE,604800
